index,id,assembly_uid,assembly_accession,organism,url,file,md5
67,refseq-NZ-1401259-PRJNA224116-SAMN03083603-NZ_AXUU-.-Shigella_dysenteriae_WRSd5.fna,81571,GCF_000499085.1,Shigella dysenteriae WRSd5 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/085/GCF_000499085.1_RRH_AFF/GCF_000499085.1_RRH_AFF_genomic.fna.gz,GCF_000499085.1.fasta.gz,f4531a3aee5018e8a5c37c04d7b96575
68,refseq-NZ-1401327-PRJNA224116-SAMN03083602-NZ_AXUT-.-Shigella_dysenteriae_WRSd3.fna,81561,GCF_000499065.1,Shigella dysenteriae WRSd3 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/065/GCF_000499065.1_XNQ_WAC/GCF_000499065.1_XNQ_WAC_genomic.fna.gz,GCF_000499065.1.fasta.gz,3a28cd61223daec49938f2f9a83d27e4
69,refseq-NZ-1434128-PRJNA224116-SAMN02437363-NZ_AZOG-.-Shigella_flexneri_Shi06AH66.fna,115271,GCF_000565505.1,Shigella flexneri Shi06AH66 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/505/GCF_000565505.1_ASM56550v1/GCF_000565505.1_ASM56550v1_genomic.fna.gz,GCF_000565505.1.fasta.gz,175794202d608d83e6db2d9787fcb9f3
70,refseq-NZ-1434129-PRJNA224116-SAMN02437364-NZ_AZOH-.-Shigella_flexneri_Shi06GS43.fna,115281,GCF_000565525.1,Shigella flexneri Shi06GS43 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/525/GCF_000565525.1_ASM56552v1/GCF_000565525.1_ASM56552v1_genomic.fna.gz,GCF_000565525.1.fasta.gz,09b709044bd7674e37e6e6092a232a48
71,refseq-NZ-1434130-PRJNA224116-SAMN02437365-NZ_AZOI-.-Shigella_flexneri_Shi06AH116.fna,115291,GCF_000565545.1,Shigella flexneri Shi06AH116 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/545/GCF_000565545.1_ASM56554v1/GCF_000565545.1_ASM56554v1_genomic.fna.gz,GCF_000565545.1.fasta.gz,b71cad9fff663b47744bac7fa261bacb
72,refseq-NZ-1434131-PRJNA224116-SAMN02437366-NZ_AZOJ-.-Shigella_flexneri_Shi06GS07.fna,115301,GCF_000565565.1,Shigella flexneri Shi06GS07 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/565/GCF_000565565.1_ASM56556v1/GCF_000565565.1_ASM56556v1_genomic.fna.gz,GCF_000565565.1.fasta.gz,07ddad617a050f08430997a192c6aae7
73,refseq-NZ-1434132-PRJNA224116-SAMN02437367-NZ_AZOK-.-Shigella_flexneri_Shi06GS48.fna,115311,GCF_000565585.1,Shigella flexneri Shi06GS48 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/585/GCF_000565585.1_ASM56558v1/GCF_000565585.1_ASM56558v1_genomic.fna.gz,GCF_000565585.1.fasta.gz,4c39cc896f2aec1587ee7d184a99076d
74,refseq-NZ-1434133-PRJNA224116-SAMN02437368-NZ_AZOL-.-Shigella_flexneri_Shi06HN118.fna,115321,GCF_000565605.1,Shigella flexneri Shi06HN118 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/605/GCF_000565605.1_ASM56560v1/GCF_000565605.1_ASM56560v1_genomic.fna.gz,GCF_000565605.1.fasta.gz,437cfaea451932c01f827cfc670ec51e
75,refseq-NZ-1434134-PRJNA224116-SAMN02437369-NZ_AZOM-.-Shigella_flexneri_Shi06HN023.fna,115331,GCF_000565625.1,Shigella flexneri Shi06HN023 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/625/GCF_000565625.1_ASM56562v1/GCF_000565625.1_ASM56562v1_genomic.fna.gz,GCF_000565625.1.fasta.gz,5311e50b31d7dd271d5e7251ca3b50ed
76,refseq-NZ-1434135-PRJNA224116-SAMN02437370-NZ_AZON-.-Shigella_flexneri_2005AH264.fna,115341,GCF_000565645.1,Shigella flexneri 2005AH264 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/645/GCF_000565645.1_ASM56564v1/GCF_000565645.1_ASM56564v1_genomic.fna.gz,GCF_000565645.1.fasta.gz,c59326c2b07983dfdaa3d7afd62074bd
77,refseq-NZ-1434136-PRJNA224116-SAMN02437371-NZ_AZOO-.-Shigella_flexneri_Shi06AH135.fna,115351,GCF_000565665.1,Shigella flexneri Shi06AH135 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/665/GCF_000565665.1_ASM56566v1/GCF_000565665.1_ASM56566v1_genomic.fna.gz,GCF_000565665.1.fasta.gz,aace94787ae22e6924c81b0a5827ac37
78,refseq-NZ-1434137-PRJNA224116-SAMN02437372-NZ_AZOP-.-Shigella_flexneri_Shi06HN378.fna,115361,GCF_000565685.1,Shigella flexneri Shi06HN378 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/685/GCF_000565685.1_ASM56568v1/GCF_000565685.1_ASM56568v1_genomic.fna.gz,GCF_000565685.1.fasta.gz,822d2e499a2e3c8726c9a277f2424f56
79,refseq-NZ-1434138-PRJNA224116-SAMN02437373-NZ_AZOQ-.-Shigella_flexneri_Shi06HN016.fna,115371,GCF_000565705.1,Shigella flexneri Shi06HN016 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/705/GCF_000565705.1_ASM56570v1/GCF_000565705.1_ASM56570v1_genomic.fna.gz,GCF_000565705.1.fasta.gz,a8c16fd7e346d5d45860dbf9c52fd82b
80,refseq-NZ-1434139-PRJNA224116-SAMN02437374-NZ_AZOR-.-Shigella_flexneri_Shi06HN250.fna,115381,GCF_000565725.1,Shigella flexneri Shi06HN250 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/725/GCF_000565725.1_ASM56572v1/GCF_000565725.1_ASM56572v1_genomic.fna.gz,GCF_000565725.1.fasta.gz,ea6ae9cb5c194b0d2eedd3f794954d89
81,refseq-NZ-1434140-PRJNA224116-SAMN02437375-NZ_AZOS-.-Shigella_flexneri_Shi06AH028.fna,115391,GCF_000565745.1,Shigella flexneri Shi06AH028 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/745/GCF_000565745.1_ASM56574v1/GCF_000565745.1_ASM56574v1_genomic.fna.gz,GCF_000565745.1.fasta.gz,1b2fc89c8c6904f99b0c8fcb227ef91a
82,refseq-NZ-1434141-PRJNA224116-SAMN02437376-NZ_AZOT-.-Shigella_flexneri_Shi06HN244.fna,115401,GCF_000565765.1,Shigella flexneri Shi06HN244 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/765/GCF_000565765.1_ASM56576v1/GCF_000565765.1_ASM56576v1_genomic.fna.gz,GCF_000565765.1.fasta.gz,89c0b7aa05c1b5ef106e466f531cb325
83,refseq-NZ-1434142-PRJNA224116-SAMN02437377-NZ_AZOU-.-Shigella_flexneri_Shi06GS37.fna,115411,GCF_000565785.1,Shigella flexneri Shi06GS37 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/785/GCF_000565785.1_ASM56578v1/GCF_000565785.1_ASM56578v1_genomic.fna.gz,GCF_000565785.1.fasta.gz,8c7a449457424dfc710aa916c39dd345
84,refseq-NZ-1434143-PRJNA224116-SAMN02437378-NZ_AZOV-.-Shigella_flexneri_2003055.fna,115421,GCF_000565805.1,Shigella flexneri 2003055 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/805/GCF_000565805.1_ASM56580v1/GCF_000565805.1_ASM56580v1_genomic.fna.gz,GCF_000565805.1.fasta.gz,6340203c4f464bd1ca98173fe68f8dfb
85,refseq-NZ-1434144-PRJNA224116-SAMN02437379-NZ_AZOW-.-Shigella_flexneri_Shi06AH130.fna,115431,GCF_000565825.1,Shigella flexneri Shi06AH130 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/825/GCF_000565825.1_ASM56582v1/GCF_000565825.1_ASM56582v1_genomic.fna.gz,GCF_000565825.1.fasta.gz,314ed15a76a2ee66d8ebda43647c31ab
86,refseq-NZ-1434145-PRJNA224116-SAMN02437380-NZ_AZOX-.-Shigella_flexneri_Shi06GS55.fna,115441,GCF_000565845.1,Shigella flexneri Shi06GS55 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/845/GCF_000565845.1_ASM56584v1/GCF_000565845.1_ASM56584v1_genomic.fna.gz,GCF_000565845.1.fasta.gz,85a266be4688b484dd422de6179105ea
87,refseq-NZ-1434146-PRJNA224116-SAMN02437381-NZ_AZOY-.-Shigella_flexneri_Shi06SX36.fna,115451,GCF_000565865.1,Shigella flexneri Shi06SX36 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/865/GCF_000565865.1_ASM56586v1/GCF_000565865.1_ASM56586v1_genomic.fna.gz,GCF_000565865.1.fasta.gz,8ccb52db5fc9807a9562bdab74296741
88,refseq-NZ-1434147-PRJNA224116-SAMN02437382-NZ_AZOZ-.-Shigella_flexneri_2002103.fna,115461,GCF_000565885.1,Shigella flexneri 2002103 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/885/GCF_000565885.1_ASM56588v1/GCF_000565885.1_ASM56588v1_genomic.fna.gz,GCF_000565885.1.fasta.gz,21bdec51c0e0e8835d1585c5542a55da
89,refseq-NZ-1434148-PRJNA224116-SAMN02437383-NZ_AZPA-.-Shigella_flexneri_Shi05SX04.fna,115471,GCF_000565905.1,Shigella flexneri Shi05SX04 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/905/GCF_000565905.1_ASM56590v1/GCF_000565905.1_ASM56590v1_genomic.fna.gz,GCF_000565905.1.fasta.gz,f467cc613d517b4cd94bf8e0bc2938e3
90,refseq-NZ-1434149-PRJNA224116-SAMN02437384-NZ_AZPB-.-Shigella_flexneri_Shi06SX53.fna,115481,GCF_000565925.1,Shigella flexneri Shi06SX53 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/925/GCF_000565925.1_ASM56592v1/GCF_000565925.1_ASM56592v1_genomic.fna.gz,GCF_000565925.1.fasta.gz,aab961430d4ba7568706944584a3b3c5
91,refseq-NZ-1434150-PRJNA224116-SAMN02437385-NZ_AZPC-.-Shigella_flexneri_2002007.fna,115491,GCF_000565945.1,Shigella flexneri 2002007 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/945/GCF_000565945.1_ASM56594v1/GCF_000565945.1_ASM56594v1_genomic.fna.gz,GCF_000565945.1.fasta.gz,5c13fbbc2a2450a3fe40cdd3ffe94adf
92,refseq-NZ-1434151-PRJNA224116-SAMN02437386-NZ_AZPD-.-Shigella_flexneri_51575.fna,115501,GCF_000565965.1,Shigella flexneri 51575 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/965/GCF_000565965.1_ASM56596v1/GCF_000565965.1_ASM56596v1_genomic.fna.gz,GCF_000565965.1.fasta.gz,53e02882a99834ca6454dab505d2799a
93,refseq-NZ-1434152-PRJNA224116-SAMN02437387-NZ_AZPE-.-Shigella_flexneri_51576.fna,115511,GCF_000565985.1,Shigella flexneri 51576 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/985/GCF_000565985.1_ASM56598v1/GCF_000565985.1_ASM56598v1_genomic.fna.gz,GCF_000565985.1.fasta.gz,1242f7c8d7a2e3890efdbe3bb9a234c1
94,refseq-NZ-1434153-PRJNA224116-SAMN02437388-NZ_AZPF-.-Shigella_flexneri_51577.fna,115521,GCF_000566005.1,Shigella flexneri 51577 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/005/GCF_000566005.1_ASM56600v1/GCF_000566005.1_ASM56600v1_genomic.fna.gz,GCF_000566005.1.fasta.gz,655fc5fdc291a43252d69235bb5f805d
95,refseq-NZ-1434154-PRJNA224116-SAMN02437389-NZ_AZPG-.-Shigella_flexneri_51581.fna,115531,GCF_000566025.1,Shigella flexneri 51581 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/025/GCF_000566025.1_ASM56602v1/GCF_000566025.1_ASM56602v1_genomic.fna.gz,GCF_000566025.1.fasta.gz,0740045e82a76cb084313835fb1015da
96,refseq-NZ-1434155-PRJNA224116-SAMN02437390-NZ_AZPH-.-Shigella_flexneri_1997005.fna,115541,GCF_000566045.1,Shigella flexneri 1997005 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/045/GCF_000566045.1_ASM56604v1/GCF_000566045.1_ASM56604v1_genomic.fna.gz,GCF_000566045.1.fasta.gz,1e6cfdca615418b145492ee46a095707
97,refseq-NZ-1434156-PRJNA224116-SAMN02437391-NZ_AZPI-.-Shigella_flexneri_2000019.fna,115551,GCF_000566065.1,Shigella flexneri 2000019 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/065/GCF_000566065.1_ASM56606v1/GCF_000566065.1_ASM56606v1_genomic.fna.gz,GCF_000566065.1.fasta.gz,0ab9ae62d5434b23eea474aa36900e57
98,refseq-NZ-1434157-PRJNA224116-SAMN02437392-NZ_AZPJ-.-Shigella_flexneri_2001020.fna,115561,GCF_000566085.1,Shigella flexneri 2001020 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/085/GCF_000566085.1_ASM56608v1/GCF_000566085.1_ASM56608v1_genomic.fna.gz,GCF_000566085.1.fasta.gz,387648a6e46bf73d85be3274aef7eeb5
99,refseq-NZ-1434158-PRJNA224116-SAMN02437393-NZ_AZPK-.-Shigella_flexneri_2001004.fna,115571,GCF_000566105.1,Shigella flexneri 2001004 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/105/GCF_000566105.1_ASM56610v1/GCF_000566105.1_ASM56610v1_genomic.fna.gz,GCF_000566105.1.fasta.gz,f9bc103e3d83b59e5ae5f26134ad71cf
100,refseq-NZ-1434159-PRJNA224116-SAMN02437394-NZ_AZPL-.-Shigella_flexneri_2001042.fna,115581,GCF_000566125.1,Shigella flexneri 2001042 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/125/GCF_000566125.1_ASM56612v1/GCF_000566125.1_ASM56612v1_genomic.fna.gz,GCF_000566125.1.fasta.gz,ea7cc91cd0dee737c5c77b8dc49e7612
101,refseq-NZ-1434160-PRJNA224116-SAMN02437395-NZ_AZPM-.-Shigella_flexneri_2001044.fna,115591,GCF_000566145.1,Shigella flexneri 2001044 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/145/GCF_000566145.1_ASM56614v1/GCF_000566145.1_ASM56614v1_genomic.fna.gz,GCF_000566145.1.fasta.gz,7013508977462714adef1890b460ee81
102,refseq-NZ-1434161-PRJNA224116-SAMN02437396-NZ_AZPN-.-Shigella_flexneri_2002021.fna,115601,GCF_000566165.1,Shigella flexneri 2002021 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/165/GCF_000566165.1_ASM56616v1/GCF_000566165.1_ASM56616v1_genomic.fna.gz,GCF_000566165.1.fasta.gz,b031161591995ddf59e32850977e26b7
103,refseq-NZ-1434162-PRJNA224116-SAMN02437397-NZ_AZPO-.-Shigella_flexneri_2002028.fna,115611,GCF_000566185.1,Shigella flexneri 2002028 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/185/GCF_000566185.1_ASM56618v1/GCF_000566185.1_ASM56618v1_genomic.fna.gz,GCF_000566185.1.fasta.gz,168d0864ea9f757673b356e13ba488eb
104,refseq-NZ-1434163-PRJNA224116-SAMN02437398-NZ_AZPP-.-Shigella_flexneri_2002069.fna,115621,GCF_000566205.1,Shigella flexneri 2002069 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/205/GCF_000566205.1_ASM56620v1/GCF_000566205.1_ASM56620v1_genomic.fna.gz,GCF_000566205.1.fasta.gz,8f68a406f10477d9c454546ee20de73c
105,refseq-NZ-1434164-PRJNA224116-SAMN02437399-NZ_AZPQ-.-Shigella_flexneri_2002091.fna,115631,GCF_000566225.1,Shigella flexneri 2002091 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/225/GCF_000566225.1_ASM56622v1/GCF_000566225.1_ASM56622v1_genomic.fna.gz,GCF_000566225.1.fasta.gz,3204f3663a2274068885440a35b88f85
106,refseq-NZ-1434165-PRJNA224116-SAMN02437400-NZ_AZPR-.-Shigella_flexneri_2002106.fna,115641,GCF_000566245.1,Shigella flexneri 2002106 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/245/GCF_000566245.1_ASM56624v1/GCF_000566245.1_ASM56624v1_genomic.fna.gz,GCF_000566245.1.fasta.gz,81c1cf895554712e0f65444c95d417e0
107,refseq-NZ-1434166-PRJNA224116-SAMN02437401-NZ_AZPS-.-Shigella_flexneri_2002110.fna,115651,GCF_000566265.1,Shigella flexneri 2002110 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/265/GCF_000566265.1_ASM56626v1/GCF_000566265.1_ASM56626v1_genomic.fna.gz,GCF_000566265.1.fasta.gz,161e1494283eb9cf5e83d8bcd594081f
108,refseq-NZ-1434167-PRJNA224116-SAMN02437402-NZ_AZPT-.-Shigella_flexneri_2002140.fna,115661,GCF_000566285.1,Shigella flexneri 2002140 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/285/GCF_000566285.1_ASM56628v1/GCF_000566285.1_ASM56628v1_genomic.fna.gz,GCF_000566285.1.fasta.gz,43f906d82900d5adaf5b7341b1e57292
109,refseq-NZ-1434168-PRJNA224116-SAMN02437403-NZ_AZPU-.-Shigella_flexneri_2003035.fna,115671,GCF_000566305.1,Shigella flexneri 2003035 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/305/GCF_000566305.1_ASM56630v1/GCF_000566305.1_ASM56630v1_genomic.fna.gz,GCF_000566305.1.fasta.gz,9d13162352fea81d7cccf3df5eb4ced2
110,refseq-NZ-1434169-PRJNA224116-SAMN02437404-NZ_AZPV-.-Shigella_flexneri_2005002.fna,115681,GCF_000566325.1,Shigella flexneri 2005002 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/325/GCF_000566325.1_ASM56632v1/GCF_000566325.1_ASM56632v1_genomic.fna.gz,GCF_000566325.1.fasta.gz,7c839091ab073c3aaa7c34e103c52bd4
111,refseq-NZ-1434170-PRJNA224116-SAMN02437405-NZ_AZPW-.-Shigella_flexneri_2005025.fna,115691,GCF_000566345.1,Shigella flexneri 2005025 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/345/GCF_000566345.1_ASM56634v1/GCF_000566345.1_ASM56634v1_genomic.fna.gz,GCF_000566345.1.fasta.gz,4594077d371f710d8942ec2dbfdc5bf9
112,refseq-NZ-1434171-PRJNA224116-SAMN02437406-NZ_AZPX-.-Shigella_flexneri_2005051.fna,115701,GCF_000566365.1,Shigella flexneri 2005051 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/365/GCF_000566365.1_ASM56636v1/GCF_000566365.1_ASM56636v1_genomic.fna.gz,GCF_000566365.1.fasta.gz,fb356d3cd4a12eab962df45bcbbf8baf
113,refseq-NZ-1434172-PRJNA224116-SAMN02437407-NZ_AZPY-.-Shigella_flexneri_2005184.fna,115711,GCF_000566385.1,Shigella flexneri 2005184 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/385/GCF_000566385.1_ASM56638v1/GCF_000566385.1_ASM56638v1_genomic.fna.gz,GCF_000566385.1.fasta.gz,f7caa521aead272085399de0189b9773
114,refseq-NZ-1434173-PRJNA224116-SAMN02437408-NZ_AZPZ-.-Shigella_flexneri_2005GS061.fna,115721,GCF_000566405.1,Shigella flexneri 2005GS061 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/405/GCF_000566405.1_ASM56640v1/GCF_000566405.1_ASM56640v1_genomic.fna.gz,GCF_000566405.1.fasta.gz,c7b865b1c4cd1093cfe1c567e422dd4a
115,refseq-NZ-1434174-PRJNA224116-SAMN02437409-NZ_AZQA-.-Shigella_flexneri_Shi06GS02.fna,115731,GCF_000566425.1,Shigella flexneri Shi06GS02 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/425/GCF_000566425.1_ASM56642v1/GCF_000566425.1_ASM56642v1_genomic.fna.gz,GCF_000566425.1.fasta.gz,2096763ff0b2cf51c9e295ac148af078
116,refseq-NZ-1434175-PRJNA224116-SAMN02437410-NZ_AZQB-.-Shigella_flexneri_Shi06HN159.fna,115741,GCF_000566445.1,Shigella flexneri Shi06HN159 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/445/GCF_000566445.1_ASM56644v1/GCF_000566445.1_ASM56644v1_genomic.fna.gz,GCF_000566445.1.fasta.gz,b412f395ab1924d98b3ce4a3bd9971e5
117,refseq-NZ-1434176-PRJNA224116-SAMN02437411-NZ_AZQC-.-Shigella_flexneri_Shi06HN344.fna,115751,GCF_000566465.1,Shigella flexneri Shi06HN344 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/465/GCF_000566465.1_ASM56646v1/GCF_000566465.1_ASM56646v1_genomic.fna.gz,GCF_000566465.1.fasta.gz,f867b0a50e76ca58e952e53299d67320
118,refseq-NZ-1434177-PRJNA224116-SAMN02437412-NZ_AZQD-.-Shigella_flexneri_Shi06HN347.fna,115761,GCF_000566485.1,Shigella flexneri Shi06HN347 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/485/GCF_000566485.1_ASM56648v1/GCF_000566485.1_ASM56648v1_genomic.fna.gz,GCF_000566485.1.fasta.gz,ec5ec70fd138a49344a79cb7e4e0b2e5
119,refseq-NZ-1434178-PRJNA224116-SAMN02437413-NZ_AZQE-.-Shigella_flexneri_Shi06HN091.fna,115771,GCF_000566505.1,Shigella flexneri Shi06HN091 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/505/GCF_000566505.1_ASM56650v1/GCF_000566505.1_ASM56650v1_genomic.fna.gz,GCF_000566505.1.fasta.gz,04037e0483e458dfec6d27feab491501
120,refseq-NZ-1434179-PRJNA224116-SAMN02437414-NZ_AZQF-.-Shigella_flexneri_Shi06AH091.fna,115781,GCF_000566525.1,Shigella flexneri Shi06AH091 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/525/GCF_000566525.1_ASM56652v1/GCF_000566525.1_ASM56652v1_genomic.fna.gz,GCF_000566525.1.fasta.gz,9a4d72bca78fa97b55589f438f69671b
121,refseq-NZ-1434180-PRJNA224116-SAMN02437415-NZ_AZQG-.-Shigella_flexneri_2001025.fna,115791,GCF_000566545.1,Shigella flexneri 2001025 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/545/GCF_000566545.1_ASM56654v1/GCF_000566545.1_ASM56654v1_genomic.fna.gz,GCF_000566545.1.fasta.gz,a777b36b07c23545a707d6c6bf538f5e
122,refseq-NZ-1434181-PRJNA224116-SAMN02437416-NZ_AZQH-.-Shigella_flexneri_2001027.fna,115801,GCF_000566565.1,Shigella flexneri 2001027 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/565/GCF_000566565.1_ASM56656v1/GCF_000566565.1_ASM56656v1_genomic.fna.gz,GCF_000566565.1.fasta.gz,f84368f2ef0b4cd875e0ee77d45ee826
123,refseq-NZ-1434182-PRJNA224116-SAMN02437417-NZ_AZQI-.-Shigella_flexneri_2001048.fna,115811,GCF_000566585.1,Shigella flexneri 2001048 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/585/GCF_000566585.1_ASM56658v1/GCF_000566585.1_ASM56658v1_genomic.fna.gz,GCF_000566585.1.fasta.gz,755b87d5124078492a5271b072908deb
124,refseq-NZ-1434183-PRJNA224116-SAMN02437418-NZ_AZQJ-.-Shigella_flexneri_2002035.fna,115821,GCF_000566605.1,Shigella flexneri 2002035 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/605/GCF_000566605.1_ASM56660v1/GCF_000566605.1_ASM56660v1_genomic.fna.gz,GCF_000566605.1.fasta.gz,b9d8b429d3f6195335e213fef6c01274
125,refseq-NZ-1434184-PRJNA224116-SAMN02437419-NZ_AZQK-.-Shigella_flexneri_2002127.fna,115831,GCF_000566625.1,Shigella flexneri 2002127 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/625/GCF_000566625.1_ASM56662v1/GCF_000566625.1_ASM56662v1_genomic.fna.gz,GCF_000566625.1.fasta.gz,8e997ef5d663c3503aef9ecc70ad5c96
126,refseq-NZ-1434185-PRJNA224116-SAMN02437420-NZ_AZQL-.-Shigella_flexneri_2002141.fna,115841,GCF_000566645.1,Shigella flexneri 2002141 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/645/GCF_000566645.1_ASM56664v1/GCF_000566645.1_ASM56664v1_genomic.fna.gz,GCF_000566645.1.fasta.gz,37ac86935c387ed857ef037410316e7f
127,refseq-NZ-1434186-PRJNA224116-SAMN02437421-NZ_AZQM-.-Shigella_flexneri_2002142.fna,115851,GCF_000566665.1,Shigella flexneri 2002142 (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/665/GCF_000566665.1_ASM56666v1/GCF_000566665.1_ASM56666v1_genomic.fna.gz,GCF_000566665.1.fasta.gz,2fe0693c983e0d086c48a008e317e338
128,refseq-NZ-198215-PRJNA179593-SAMN00792433-NZ_ADUV-.-Shigella_flexneri_2a_str._2457T.fna,459908,GCF_000183785.1,Shigella flexneri 2a str. 2457T (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/183/785/GCF_000183785.1_ASM18378v2/GCF_000183785.1_ASM18378v2_genomic.fna.gz,GCF_000183785.1.fasta.gz,3f559f6cc942bd14ef3acf03b8dece6d
129,refseq-NZ-623-PRJNA224116-SAMEA2434358-GCF_000953035.1-.-Shigella_flexneri.fna,311731,GCF_000953035.1,Shigella flexneri (enterobacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/953/035/GCF_000953035.1_NCTC1/GCF_000953035.1_NCTC1_genomic.fna.gz,GCF_000953035.1.fasta.gz,610c00528b0dd9189486b9a1ff973ce6
